anio_mundial,fase,grupo,fecha,pais_local,pais_visita,nom_jugador,pais_jugador,minuto,tipo_gol
1930,Primera Ronda,Grupo 1,1930-07-13,Francia,México,Lucien Laurent,Francia,19,
1930,Primera Ronda,Grupo 1,1930-07-13,Francia,México,Marcel Langiller,Francia,40,
1930,Primera Ronda,Grupo 1,1930-07-13,Francia,México,Andre Maschinot,Francia,43,
1930,Primera Ronda,Grupo 1,1930-07-13,Francia,México,Juan Carreno,México,70,
1930,Primera Ronda,Grupo 1,1930-07-13,Francia,México,Andre Maschinot,Francia,87,
1930,Primera Ronda,Grupo 1,1930-07-15,Argentina,Francia,Luis Monti,Argentina,81,
1930,Primera Ronda,Grupo 1,1930-07-16,Chile,México,Carlos Vidal,Chile,3,
1930,Primera Ronda,Grupo 1,1930-07-16,Chile,México,Manuel Rosas,México,51,penal
1930,Primera Ronda,Grupo 1,1930-07-16,Chile,México,Carlos Vidal,Chile,65,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Guillermo Stabile,Argentina,8,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Adolfo Zumelzu,Argentina,12,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Guillermo Stabile,Argentina,17,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Manuel Rosas,México,42,penal
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Francisco Varallo,Argentina,53,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Adolfo Zumelzu,Argentina,55,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Manuel Rosas,México,65,penal
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Roberto Gayon,México,75,
1930,Primera Ronda,Grupo 1,1930-07-19,Argentina,México,Guillermo Stabile,Argentina,80,
1930,Primera Ronda,Grupo 1,1930-07-19,Chile,Francia,Guillermo Subiabre,Chile,65,
1930,Primera Ronda,Grupo 1,1930-07-22,Argentina,Chile,Guillermo Stabile,Argentina,12,
